weight[-25, -22, -4, 18, 4, -13, 17, 36, 0, 19, 47, -1, -22, -39, 42, 38, 47, -19, 4, -26, -10, -35, 28, 47, 11]
population size 200 target 40
mutation chance: 0.1selection percent 0.5
constraints [-50, 50]
STT,SELECTION METHOD,CROSSOVER METHOD,MUTATION METHOD,AVERAGE GENERATION, AVERAGE EXECUTION TIME 
251,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,1,0.102
252,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,43,4.023
253,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,39,3.817
254,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,11,1.024
255,RANDOM SELECTION,UNIFORM RANDOM CROSS,UNIFROM RANDOM MUTATION,174,16.565
256,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,339,31.573
257,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,67,6.254
258,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,73,6.826
259,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,100,9.345
260,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,16,1.503
261,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,51,4.782
262,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,161,15.019
263,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,6,0.559
264,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,23,2.153
265,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,99,9.243
266,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,34,3.174
267,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,4,0.388
268,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,83,7.751
269,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,77,7.204
270,RANDOM SELECTION,UNIFORM RANDOM CROSS,INORDER MUTATION,7,0.662
