,TS_OX1_RS,TS_OX1_SM,TS_OX1_SCM,TS_OX1_IM
192,-18125.343332653287,-13574.341623067228,-14902.353971354763,-14715.488797459648
193,-18125.343332653287,-13712.000360016384,-14902.353971354763,-14715.488797459648
194,-18131.210784217037,-13712.000360016384,-14902.353971354763,-14715.488797459648
195,-18137.29797343951,-13574.341623067226,-14902.353971354763,-14771.777907358744
196,-18137.29797343951,-13742.489708654253,-14902.353971354763,-14771.777907358744
197,-18139.25079722855,-14062.454535290239,-14902.353971354763,-14771.777907358744
198,-18139.25079722855,-13668.749789501082,-14902.353971354763,-14715.488797459648
199,-18391.169165918545,-13861.357088842944,-14902.353971354763,-14715.488797459648
200,-18391.169165918545,-13574.341623067228,-14902.353971354763,-14715.488797459648
201,-18399.209178930058,-13574.341623067228,-14902.353971354763,-14715.488797459648
202,-18399.209178930058,-14258.464419863518,-14902.353971354763,-14715.488797459648
203,-18399.209178930058,-14258.464419863518,-14902.353971354763,-14715.488797459648
204,-18399.209178930058,-14258.464419863518,-14902.353971354763,-14715.488797459648
205,-18399.209178930058,-14258.464419863518,-14902.353971354763,-14715.488797459648
206,-18443.492188405802,-14258.46441986352,-14902.353971354763,-14715.488797459648
207,-18443.492188405802,-14258.464419863518,-14902.353971354763,-14715.488797459648
208,-18443.492188405802,-14258.464419863518,-14902.353971354763,-14715.488797459651
209,-18451.532201417318,-14258.464419863518,-14902.353971354763,-14715.488797459648
210,-18525.373870850617,-14258.464419863518,-14902.353971354763,-14715.488797459648
211,-18542.662432390312,-14258.464419863518,-14902.353971354763,-14715.488797459648
212,-18451.532201417318,-14258.464419863518,-14902.353971354763,-14715.488797459648
213,-18453.475105609574,-14258.464419863518,-14902.353971354763,-14715.488797459648
214,-18599.79571910985,-14258.464419863518,-14902.353971354763,-14715.488797459648
215,-18453.475105609574,-14258.464419863518,-14902.353971354763,-14715.488797459648
216,-18453.475105609574,-14258.464419863518,-14902.353971354763,-14715.488797459648
217,-18453.475105609574,-14258.464419863518,-14902.353971354763,-14715.488797459648
218,-18453.475105609574,-14258.464419863518,-14902.353971354763,-14715.488797459648
219,-18550.851860435312,-14258.464419863518,-14902.353971354763,-14771.777907358744
220,-18552.75074756732,-14258.464419863518,-14902.353971354763,-14771.777907358744
221,-18552.75074756732,-14258.464419863518,-14902.353971354763,-14771.777907358744
222,-18554.72915448256,-14258.464419863518,-14902.353971354763,-14771.777907358744
223,-18553.11745181202,-14337.622967801686,-14902.353971354763,-14771.777907358744
224,-18556.363072250653,-14426.612505450546,-14902.353971354763,-14771.777907358744
225,-18556.363072250653,-14337.622967801686,-14902.353971354763,-14771.777907358744
226,-18556.363072250653,-14337.622967801686,-14902.353971354763,-14771.777907358744
227,-18558.30597644292,-14258.464419863518,-14902.353971354763,-14715.488797459648
228,-18558.30597644292,-14258.464419863518,-14902.353971354763,-14715.488797459648
229,-18558.30597644292,-14258.464419863518,-14902.353971354763,-14715.488797459648
230,-18558.30597644292,-14258.464419863518,-14902.353971354763,-14715.488797459648
231,-18558.30597644292,-14258.464419863518,-14902.353971354763,-14715.488797459648
232,-18625.987303571208,-14258.464419863518,-14902.353971354763,-14715.488797459648
233,-18625.987303571208,-14258.464419863518,-14902.353971354763,-14715.488797459648
234,-18625.987303571208,-14258.464419863518,-14902.353971354763,-14715.488797459648
235,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14715.488797459648
236,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14715.488797459648
237,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14715.488797459648
238,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14771.777907358744
239,-18627.030403801942,-14258.46441986352,-14902.353971354763,-14771.777907358744
240,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14771.777907358744
241,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14771.77790735874
242,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14771.777907358744
243,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14771.777907358744
244,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14771.777907358744
245,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14771.777907358744
246,-18627.030403801942,-14258.464419863518,-14902.353971354763,-14771.777907358744
247,-18637.15776627614,-14258.464419863518,-14902.353971354763,-14771.777907358744
248,-18637.15776627614,-14258.464419863518,-14902.353971354763,-14771.777907358744
249,-18637.15776627614,-14258.464419863518,-14902.353971354763,-14771.777907358744
250,-18637.15776627614,-14258.464419863518,-14902.353971354763,-14771.777907358744
251,-18637.15776627614,-14258.464419863518,-14902.353971354763,-14771.777907358744
252,-18637.15776627614,-14258.464419863518,-14902.353971354763,-14771.777907358744
253,-18640.483211367125,-14258.464419863518,-14902.353971354763,-14771.777907358744
254,-18699.87940065012,-14258.464419863518,-14902.353971354763,-14771.777907358744
255,-18699.87940065012,-14258.464419863518,-14902.353971354763,-14771.777907358744
256,-18710.00676312432,-14258.464419863518,-14902.353971354763,-14771.777907358744
257,-18710.00676312432,-14258.464419863518,-14902.353971354763,-14771.777907358748
258,-18713.332208215306,-14258.464419863518,-14902.353971354763,-14771.777907358748
259,-18713.332208215306,-14260.686696970539,-14902.353971354763,-14771.777907358748
260,-18713.332208215306,-14258.464419863518,-14902.353971354763,-14771.777907358748
261,-18713.332208215306,-14258.464419863518,-14902.353971354763,-14771.777907358748
262,-18713.332208215306,-14258.464419863518,-14902.353971354763,-14771.777907358748
263,-18713.336880992807,-14258.464419863518,-14902.353971354763,-14771.777907358748
264,-18713.336880992807,-14258.464419863518,-14902.353971354763,-14771.777907358748
265,-18713.336880992807,-14258.464419863518,-14902.353971354763,-14771.777907358744
266,-18713.336880992807,-14258.464419863518,-14902.353971354763,-14771.777907358748
267,-18716.615834801098,-14258.464419863518,-14902.353971354763,-14771.777907358748
268,-18716.615834801098,-14258.464419863518,-14902.353971354763,-14771.777907358748
269,-18716.620507578602,-14258.464419863518,-14902.353971354763,-14771.777907358748
270,-18716.620507578602,-14258.464419863518,-14902.353971354763,-14771.777907358748
271,-18716.620507578602,-14258.464419863518,-14902.353971354763,-14771.777907358748
272,-18716.620507578602,-14258.464419863518,-14902.353971354763,-14771.777907358748
273,-18717.443905065116,-14258.464419863518,-14902.353971354763,-14771.77790735875
274,-18719.272890991873,-14258.464419863518,-14902.353971354763,-14771.77790735875
275,-18720.096288478384,-14258.464419863518,-14902.353971354763,-14771.777907358748
276,-18720.096288478384,-14258.464419863518,-14902.353971354763,-14771.777907358748
277,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.02186178516
278,-18720.096288478384,-14258.464419863518,-14902.353971354763,-15159.02186178516
